Sample,Histone_Mark,Tool,State,Peak_Count,State_Bp,Overlap_Bp,Enrichment_Score
SRR31972739,H3K27me3,GoPeaks,2_TssAFlnk,12475,22504393,131104000,60.1860
SRR31972748,H3K27me3,GoPeaks,11_BivFlnk,12462,302634,21687000,1099.9091
SRR31972748,H3K27me3,GoPeaks,4_Tx,12462,80021415,2325000,0.4460
SRR31972748,H3K27me3,GoPeaks,9_Het,12462,19735745,11454000,8.9080
SRR31972748,H3K27me3,GoPeaks,15_Quies,12462,1872511958,93801000,0.7689
SRR31972748,H3K27me3,GoPeaks,10_TssBiv,12462,309061,14895000,739.7268
SRR31972748,H3K27me3,GoPeaks,5_TxWk,12462,332621608,22929000,1.0581
SRR31972748,H3K27me3,GoPeaks,7_Enh,12462,85193746,85262000,15.3611
SRR31972748,H3K27me3,GoPeaks,13_ReprPC,12462,22438620,450366000,308.0665
SRR31972748,H3K27me3,GoPeaks,3_TxFlnk,12462,5328410,1947000,5.6085
SRR31972748,H3K27me3,GoPeaks,8_ZNF/Rpts,12462,4187737,1804000,6.6120
SRR31972748,H3K27me3,GoPeaks,14_ReprPCWk,12462,353341693,617222000,26.8115
SRR31972748,H3K27me3,GoPeaks,6_EnhG,12462,16260772,1381000,1.3035
SRR31972748,H3K27me3,GoPeaks,1_TssA,12462,23697787,22627000,14.6553
SRR31972748,H3K27me3,GoPeaks,12_EnhBiv,12462,1536844,107326000,1071.8899
SRR31972748,H3K27me3,GoPeaks,2_TssAFlnk,12462,22504393,37166000,25.3486
